anime_id,jpg_small,jpg_large,webp_small,webp_large
23847,https://cdn.myanimelist.net/images/anime/11/75376t.jpg,https://cdn.myanimelist.net/images/anime/11/75376l.jpg,https://cdn.myanimelist.net/images/anime/11/75376t.webp,https://cdn.myanimelist.net/images/anime/11/75376l.webp
23849,https://cdn.myanimelist.net/images/anime/11/71077t.jpg,https://cdn.myanimelist.net/images/anime/11/71077l.jpg,https://cdn.myanimelist.net/images/anime/11/71077t.webp,https://cdn.myanimelist.net/images/anime/11/71077l.webp
56621,https://cdn.myanimelist.net/images/anime/1621/138431t.jpg,https://cdn.myanimelist.net/images/anime/1621/138431l.jpg,https://cdn.myanimelist.net/images/anime/1621/138431t.webp,https://cdn.myanimelist.net/images/anime/1621/138431l.webp
23871,https://cdn.myanimelist.net/images/anime/12/62617t.jpg,https://cdn.myanimelist.net/images/anime/12/62617l.jpg,https://cdn.myanimelist.net/images/anime/12/62617t.webp,https://cdn.myanimelist.net/images/anime/12/62617l.webp
23877,https://cdn.myanimelist.net/images/anime/6/61765t.jpg,https://cdn.myanimelist.net/images/anime/6/61765l.jpg,https://cdn.myanimelist.net/images/anime/6/61765t.webp,https://cdn.myanimelist.net/images/anime/6/61765l.webp
23895,https://cdn.myanimelist.net/images/anime/6/61879t.jpg,https://cdn.myanimelist.net/images/anime/6/61879l.jpg,https://cdn.myanimelist.net/images/anime/6/61879t.webp,https://cdn.myanimelist.net/images/anime/6/61879l.webp
23897,https://cdn.myanimelist.net/images/anime/6/61923t.jpg,https://cdn.myanimelist.net/images/anime/6/61923l.jpg,https://cdn.myanimelist.net/images/anime/6/61923t.webp,https://cdn.myanimelist.net/images/anime/6/61923l.webp
23901,https://cdn.myanimelist.net/images/anime/2/61929t.jpg,https://cdn.myanimelist.net/images/anime/2/61929l.jpg,https://cdn.myanimelist.net/images/anime/2/61929t.webp,https://cdn.myanimelist.net/images/anime/2/61929l.webp
56671,https://cdn.myanimelist.net/images/anime/1522/139282t.jpg,https://cdn.myanimelist.net/images/anime/1522/139282l.jpg,https://cdn.myanimelist.net/images/anime/1522/139282t.webp,https://cdn.myanimelist.net/images/anime/1522/139282l.webp
23903,https://cdn.myanimelist.net/images/anime/6/61931t.jpg,https://cdn.myanimelist.net/images/anime/6/61931l.jpg,https://cdn.myanimelist.net/images/anime/6/61931t.webp,https://cdn.myanimelist.net/images/anime/6/61931l.webp
23909,https://cdn.myanimelist.net/images/anime/1702/119900t.jpg,https://cdn.myanimelist.net/images/anime/1702/119900l.jpg,https://cdn.myanimelist.net/images/anime/1702/119900t.webp,https://cdn.myanimelist.net/images/anime/1702/119900l.webp
23915,https://cdn.myanimelist.net/images/anime/1469/142100t.jpg,https://cdn.myanimelist.net/images/anime/1469/142100l.jpg,https://cdn.myanimelist.net/images/anime/1469/142100t.webp,https://cdn.myanimelist.net/images/anime/1469/142100l.webp
56685,https://cdn.myanimelist.net/images/anime/1094/138734t.jpg,https://cdn.myanimelist.net/images/anime/1094/138734l.jpg,https://cdn.myanimelist.net/images/anime/1094/138734t.webp,https://cdn.myanimelist.net/images/anime/1094/138734l.webp
56691,https://cdn.myanimelist.net/images/anime/1789/139296t.jpg,https://cdn.myanimelist.net/images/anime/1789/139296l.jpg,https://cdn.myanimelist.net/images/anime/1789/139296t.webp,https://cdn.myanimelist.net/images/anime/1789/139296l.webp
23931,https://cdn.myanimelist.net/images/anime/11/62689t.jpg,https://cdn.myanimelist.net/images/anime/11/62689l.jpg,https://cdn.myanimelist.net/images/anime/11/62689t.webp,https://cdn.myanimelist.net/images/anime/11/62689l.webp
23933,https://cdn.myanimelist.net/images/anime/9/62123t.jpg,https://cdn.myanimelist.net/images/anime/9/62123l.jpg,https://cdn.myanimelist.net/images/anime/9/62123t.webp,https://cdn.myanimelist.net/images/anime/9/62123l.webp
56703,https://cdn.myanimelist.net/images/anime/1539/138607t.jpg,https://cdn.myanimelist.net/images/anime/1539/138607l.jpg,https://cdn.myanimelist.net/images/anime/1539/138607t.webp,https://cdn.myanimelist.net/images/anime/1539/138607l.webp
23935,https://cdn.myanimelist.net/images/anime/3/62121t.jpg,https://cdn.myanimelist.net/images/anime/3/62121l.jpg,https://cdn.myanimelist.net/images/anime/3/62121t.webp,https://cdn.myanimelist.net/images/anime/3/62121l.webp
23943,https://cdn.myanimelist.net/images/anime/10/62067t.jpg,https://cdn.myanimelist.net/images/anime/10/62067l.jpg,https://cdn.myanimelist.net/images/anime/10/62067t.webp,https://cdn.myanimelist.net/images/anime/10/62067l.webp
23945,https://cdn.myanimelist.net/images/anime/8/64443t.jpg,https://cdn.myanimelist.net/images/anime/8/64443l.jpg,https://cdn.myanimelist.net/images/anime/8/64443t.webp,https://cdn.myanimelist.net/images/anime/8/64443l.webp
56715,https://cdn.myanimelist.net/images/anime/1217/138638t.jpg,https://cdn.myanimelist.net/images/anime/1217/138638l.jpg,https://cdn.myanimelist.net/images/anime/1217/138638t.webp,https://cdn.myanimelist.net/images/anime/1217/138638l.webp
56720,https://cdn.myanimelist.net/images/anime/1687/138653t.jpg,https://cdn.myanimelist.net/images/anime/1687/138653l.jpg,https://cdn.myanimelist.net/images/anime/1687/138653t.webp,https://cdn.myanimelist.net/images/anime/1687/138653l.webp
56731,https://cdn.myanimelist.net/images/anime/1189/140511t.jpg,https://cdn.myanimelist.net/images/anime/1189/140511l.jpg,https://cdn.myanimelist.net/images/anime/1189/140511t.webp,https://cdn.myanimelist.net/images/anime/1189/140511l.webp
56741,https://cdn.myanimelist.net/images/anime/1927/138733t.jpg,https://cdn.myanimelist.net/images/anime/1927/138733l.jpg,https://cdn.myanimelist.net/images/anime/1927/138733t.webp,https://cdn.myanimelist.net/images/anime/1927/138733l.webp
23975,https://cdn.myanimelist.net/images/anime/1969/112457t.jpg,https://cdn.myanimelist.net/images/anime/1969/112457l.jpg,https://cdn.myanimelist.net/images/anime/1969/112457t.webp,https://cdn.myanimelist.net/images/anime/1969/112457l.webp
23983,https://cdn.myanimelist.net/images/anime/11/62189t.jpg,https://cdn.myanimelist.net/images/anime/11/62189l.jpg,https://cdn.myanimelist.net/images/anime/11/62189t.webp,https://cdn.myanimelist.net/images/anime/11/62189l.webp
23985,https://cdn.myanimelist.net/images/anime/10/67563t.jpg,https://cdn.myanimelist.net/images/anime/10/67563l.jpg,https://cdn.myanimelist.net/images/anime/10/67563t.webp,https://cdn.myanimelist.net/images/anime/10/67563l.webp
23987,https://cdn.myanimelist.net/images/anime/7/72531t.jpg,https://cdn.myanimelist.net/images/anime/7/72531l.jpg,https://cdn.myanimelist.net/images/anime/7/72531t.webp,https://cdn.myanimelist.net/images/anime/7/72531l.webp
23989,https://cdn.myanimelist.net/images/anime/7/62209t.jpg,https://cdn.myanimelist.net/images/anime/7/62209l.jpg,https://cdn.myanimelist.net/images/anime/7/62209t.webp,https://cdn.myanimelist.net/images/anime/7/62209l.webp
23991,https://cdn.myanimelist.net/images/anime/1316/125015t.jpg,https://cdn.myanimelist.net/images/anime/1316/125015l.jpg,https://cdn.myanimelist.net/images/anime/1316/125015t.webp,https://cdn.myanimelist.net/images/anime/1316/125015l.webp
24011,https://cdn.myanimelist.net/images/anime/13/76576t.jpg,https://cdn.myanimelist.net/images/anime/13/76576l.jpg,https://cdn.myanimelist.net/images/anime/13/76576t.webp,https://cdn.myanimelist.net/images/anime/13/76576l.webp
56790,https://cdn.myanimelist.net/images/anime/1158/138847t.jpg,https://cdn.myanimelist.net/images/anime/1158/138847l.jpg,https://cdn.myanimelist.net/images/anime/1158/138847t.webp,https://cdn.myanimelist.net/images/anime/1158/138847l.webp
